number,url,title,author,createdAt,closedAt,mergedAt,outcome,durationHours,rangeStart,rangeEnd,rangeSize,additions,deletions,changedFiles,activeCollisionCount,priorOverlapCount,overlappingPriorPRs
64,https://github.com/ai-village-agents/the-universe/pull/64,Add batch 48: Exoplanet Atmospheres (9726-9750),claudehaiku45,2026-05-06T20:39:19+00:00,2026-05-07T17:38:55+00:00,,closed,20.9933,9726,9750,25,26,1,1,0,0,
67,https://github.com/ai-village-agents/the-universe/pull/67,Add batch 49: Stellar Evolution (9726-9750),claudehaiku45,2026-05-06T20:41:43+00:00,2026-05-07T17:38:57+00:00,,closed,20.9539,9726,9750,25,230,1,2,1,1,64
81,https://github.com/ai-village-agents/the-universe/pull/81,Add batch 59: Quantum Phenomena (9826-9850),claudehaiku45,2026-05-06T20:54:17+00:00,2026-05-07T17:38:59+00:00,,closed,20.7450,9826,9850,25,25,0,1,0,0,
85,https://github.com/ai-village-agents/the-universe/pull/85,Add batch 60: Topological Phenomena (9851-9875),claudehaiku45,2026-05-06T20:55:21+00:00,2026-05-07T17:39:01+00:00,,closed,20.7278,9851,9875,25,25,0,1,0,0,
87,https://github.com/ai-village-agents/the-universe/pull/87,Add batch 61: Quantum Applications (9876-9900),claudehaiku45,2026-05-06T20:56:25+00:00,2026-05-07T17:39:03+00:00,,closed,20.7106,9876,9900,25,25,0,1,0,0,
89,https://github.com/ai-village-agents/the-universe/pull/89,Add batch 62: Quantum Computing (9901-9925),claudehaiku45,2026-05-06T20:57:27+00:00,2026-05-07T17:39:05+00:00,,closed,20.6939,9901,9925,25,25,0,1,0,0,
96,https://github.com/ai-village-agents/the-universe/pull/96,Add batch 64: Advanced Quantum Topics (9951-9975),claudehaiku45,2026-05-07T17:03:38+00:00,2026-05-07T17:15:45+00:00,2026-05-07T17:15:45+00:00,merged,0.2019,9951,9975,25,25,0,1,0,0,
98,https://github.com/ai-village-agents/the-universe/pull/98,"Add batch 65: Quantum Interfaces & Applications (9976-10000) — 10,000 SIGHTS MILESTONE!",claudehaiku45,2026-05-07T17:04:39+00:00,2026-05-07T17:26:14+00:00,,closed,0.3597,9976,10000,25,25,0,1,0,0,
284,https://github.com/ai-village-agents/the-universe/pull/284,Batch 104: High-Energy Physics (11176-11200),claudehaiku45,2026-05-08T17:11:52+00:00,2026-05-08T18:48:00+00:00,,closed,1.6022,11176,11200,25,101,1,1,0,0,
334,https://github.com/ai-village-agents/the-universe/pull/334,feat: add 25 new cosmic sights (11726-11750),gemini-25-pro-collab,2026-05-08T17:46:49+00:00,2026-05-08T18:06:01+00:00,2026-05-08T18:06:00+00:00,merged,0.3197,11726,11750,25,150,0,1,0,0,
356,https://github.com/ai-village-agents/the-universe/pull/356,feat: add 25 new cosmic sights (11901-11925),gemini-25-pro-collab,2026-05-08T18:09:46+00:00,2026-05-08T18:21:04+00:00,,closed,0.1883,11901,11925,25,152,1,1,0,0,
370,https://github.com/ai-village-agents/the-universe/pull/370,Batch 145: Cosmic Web Topologies & Void Structures (12026-12050),gemini-3-1-pro,2026-05-08T18:19:19+00:00,2026-05-08T18:20:01+00:00,,closed,0.0117,12026,12050,25,276,0,1,0,0,
371,https://github.com/ai-village-agents/the-universe/pull/371,Batch 145: Quantum Foundations (12026-12050),claudehaiku45,2026-05-08T18:21:00+00:00,2026-05-08T18:23:28+00:00,2026-05-08T18:23:28+00:00,merged,0.0411,12026,12050,25,26,0,1,0,1,
372,https://github.com/ai-village-agents/the-universe/pull/372,Batch 146: Cosmic Web Topologies & Void Structures (11951-11975),gemini-3-1-pro,2026-05-08T18:21:01+00:00,2026-05-08T18:21:55+00:00,,closed,0.0150,11951,11975,25,201,0,1,0,0,
379,https://github.com/ai-village-agents/the-universe/pull/379,Batch 146: Astroparticle Physics (12001-12025),claudehaiku45,2026-05-08T18:24:25+00:00,2026-05-08T18:26:35+00:00,2026-05-08T18:26:35+00:00,merged,0.0361,12001,12025,25,26,0,1,0,0,
380,https://github.com/ai-village-agents/the-universe/pull/380,Batch 147: Stellar Remnants & Compact Objects (12051-12075),claudehaiku45,2026-05-08T18:27:30+00:00,2026-05-08T18:28:12+00:00,2026-05-08T18:28:12+00:00,merged,0.0117,12051,12075,25,27,0,1,0,0,
382,https://github.com/ai-village-agents/the-universe/pull/382,Batch 148: Relativistic Astrophysics & GR Effects (12076-12100),claudehaiku45,2026-05-08T18:29:00+00:00,2026-05-08T18:29:35+00:00,2026-05-08T18:29:35+00:00,merged,0.0097,12076,12100,25,27,0,1,0,0,
385,https://github.com/ai-village-agents/the-universe/pull/385,Batch 149: Multi-Messenger Astronomy (12101-12125),claudehaiku45,2026-05-08T18:30:27+00:00,2026-05-08T18:36:05+00:00,,closed,0.0939,12101,12125,25,27,0,1,0,0,
388,https://github.com/ai-village-agents/the-universe/pull/388,Batch 149: Exoplanet Ocean Worlds & Hydrospheres (12076-12100),kimi-k26,2026-05-08T18:33:14+00:00,2026-05-08T18:33:45+00:00,,closed,0.0086,12076,12100,25,26,1,1,0,1,
