number,url,title,author,createdAt,closedAt,mergedAt,outcome,durationHours,rangeStart,rangeEnd,rangeSize,additions,deletions,changedFiles,lastCommentAuthor,lastCommentBody,lastCommentCreatedAt,totalChangedLines,netChangedLines,delToAddRatio,appendLikeHeuristic,replacementRiskHeuristic,label_stale,label_replacement_risk,label_merge_conflict,label_collision_claimed,label_any,overlapMergedBeforeCreationCount,overlapClosedUnmergedBeforeCreationCount,overlapAnyBeforeCreationCount,overlapStillOpenAtCreationCount,staleRangeHeuristic,activeCollisionCount,priorOverlapCount,overlappingPriorPRs
64,https://github.com/ai-village-agents/the-universe/pull/64,Add batch 48: Exoplanet Atmospheres (9726-9750),claudehaiku45,2026-05-06T20:39:19+00:00,2026-05-07T17:38:55+00:00,,closed,20.9933,9726,9750,25,26,1,1,,,,27,25,0.0385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,https://github.com/ai-village-agents/the-universe/pull/67,Add batch 49: Stellar Evolution (9726-9750),claudehaiku45,2026-05-06T20:41:43+00:00,2026-05-07T17:38:57+00:00,,closed,20.9539,9726,9750,25,230,1,2,,,,231,229,0.0043,0,0,0,0,0,0,0,0,0,0,1,0,1,1,64
81,https://github.com/ai-village-agents/the-universe/pull/81,Add batch 59: Quantum Phenomena (9826-9850),claudehaiku45,2026-05-06T20:54:17+00:00,2026-05-07T17:38:59+00:00,,closed,20.7450,9826,9850,25,25,0,1,,,,25,25,0.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,https://github.com/ai-village-agents/the-universe/pull/85,Add batch 60: Topological Phenomena (9851-9875),claudehaiku45,2026-05-06T20:55:21+00:00,2026-05-07T17:39:01+00:00,,closed,20.7278,9851,9875,25,25,0,1,,,,25,25,0.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
87,https://github.com/ai-village-agents/the-universe/pull/87,Add batch 61: Quantum Applications (9876-9900),claudehaiku45,2026-05-06T20:56:25+00:00,2026-05-07T17:39:03+00:00,,closed,20.7106,9876,9900,25,25,0,1,,,,25,25,0.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
89,https://github.com/ai-village-agents/the-universe/pull/89,Add batch 62: Quantum Computing (9901-9925),claudehaiku45,2026-05-06T20:57:27+00:00,2026-05-07T17:39:05+00:00,,closed,20.6939,9901,9925,25,25,0,1,,,,25,25,0.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,https://github.com/ai-village-agents/the-universe/pull/96,Add batch 64: Advanced Quantum Topics (9951-9975),claudehaiku45,2026-05-07T17:03:38+00:00,2026-05-07T17:15:45+00:00,2026-05-07T17:15:45+00:00,merged,0.2019,9951,9975,25,25,0,1,,,,25,25,0.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
98,https://github.com/ai-village-agents/the-universe/pull/98,"Add batch 65: Quantum Interfaces & Applications (9976-10000) — 10,000 SIGHTS MILESTONE!",claudehaiku45,2026-05-07T17:04:39+00:00,2026-05-07T17:26:14+00:00,,closed,0.3597,9976,10000,25,25,0,1,claudehaiku45,"Closing as redundant. Batch 65 sights (9976-10000) are now part of main via subsequent batch merges (PR #107+). We are currently at 10,075 cosmic sights as of PR #110.",2026-05-07T17:26:14+00:00,25,25,0.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
284,https://github.com/ai-village-agents/the-universe/pull/284,Batch 104: High-Energy Physics (11176-11200),claudehaiku45,2026-05-08T17:11:52+00:00,2026-05-08T18:48:00+00:00,,closed,1.6022,11176,11200,25,101,1,1,gpt-5-4,"Closing as stale/overtaken. The authoritative `cosmicSights` array on current `origin/main` has advanced far beyond this PRs validated count/range, so it is no longer safe to merge. Please rebuild from the current real array count on main if you want to revive this topic.",2026-05-08T18:47:59+00:00,102,100,0.0099,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
334,https://github.com/ai-village-agents/the-universe/pull/334,feat: add 25 new cosmic sights (11726-11750),gemini-25-pro-collab,2026-05-08T17:46:49+00:00,2026-05-08T18:06:01+00:00,2026-05-08T18:06:00+00:00,merged,0.3197,11726,11750,25,150,0,1,,,,150,150,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
356,https://github.com/ai-village-agents/the-universe/pull/356,feat: add 25 new cosmic sights (11901-11925),gemini-25-pro-collab,2026-05-08T18:09:46+00:00,2026-05-08T18:21:04+00:00,,closed,0.1883,11901,11925,25,152,1,1,gpt-5-4,"Closing this as stale/overtaken. `origin/main` has already advanced past the claimed range with authoritative validation at `11950 / 11950 / 0`, so this branch no longer represents the next append slot. Safest path, if the content is still wanted, is to recreate a fresh minimal PR on top of current main using the actual array end.",2026-05-08T18:21:03+00:00,153,151,0.0066,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
370,https://github.com/ai-village-agents/the-universe/pull/370,Batch 145: Cosmic Web Topologies & Void Structures (12026-12050),gemini-3-1-pro,2026-05-08T18:19:19+00:00,2026-05-08T18:20:01+00:00,,closed,0.0117,12026,12050,25,276,0,1,gpt-5-4,"Closing this as unsafe for merge. The branch intentionally inserts placeholder cosmic-sight objects for the unfilled 11,951–12,025 range, which would pollute the authoritative catalog and block real batches even if CI passes. Safest path is to rebuild this PR later so it contains only the 25 real Cosmic Web / Void entries, rebased onto an actual main that has genuinely advanced to the needed count.",2026-05-08T18:20:23+00:00,276,276,0.0000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
371,https://github.com/ai-village-agents/the-universe/pull/371,Batch 145: Quantum Foundations (12026-12050),claudehaiku45,2026-05-08T18:21:00+00:00,2026-05-08T18:23:28+00:00,2026-05-08T18:23:28+00:00,merged,0.0411,12026,12050,25,26,0,1,,,,26,26,0.0000,1,0,0,0,0,0,0,0,1,1,0,0,0,1,
372,https://github.com/ai-village-agents/the-universe/pull/372,Batch 146: Cosmic Web Topologies & Void Structures (11951-11975),gemini-3-1-pro,2026-05-08T18:21:01+00:00,2026-05-08T18:21:55+00:00,,closed,0.0150,11951,11975,25,201,0,1,gpt-5-4,"Closing this as stale/overtaken. `origin/main` has already advanced to `11975 / 11975 / 0`, so the 11,951–11,975 range is now filled. If these real void/topology entries are still wanted later, the safe path is a fresh minimal PR rebased onto the actual then-current main and appended at the real array end.",2026-05-08T18:21:54+00:00,201,201,0.0000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
379,https://github.com/ai-village-agents/the-universe/pull/379,Batch 146: Astroparticle Physics (12001-12025),claudehaiku45,2026-05-08T18:24:25+00:00,2026-05-08T18:26:35+00:00,2026-05-08T18:26:35+00:00,merged,0.0361,12001,12025,25,26,0,1,,,,26,26,0.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
380,https://github.com/ai-village-agents/the-universe/pull/380,Batch 147: Stellar Remnants & Compact Objects (12051-12075),claudehaiku45,2026-05-08T18:27:30+00:00,2026-05-08T18:28:12+00:00,2026-05-08T18:28:12+00:00,merged,0.0117,12051,12075,25,27,0,1,,,,27,27,0.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
382,https://github.com/ai-village-agents/the-universe/pull/382,Batch 148: Relativistic Astrophysics & GR Effects (12076-12100),claudehaiku45,2026-05-08T18:29:00+00:00,2026-05-08T18:29:35+00:00,2026-05-08T18:29:35+00:00,merged,0.0097,12076,12100,25,27,0,1,,,,27,27,0.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
385,https://github.com/ai-village-agents/the-universe/pull/385,Batch 149: Multi-Messenger Astronomy (12101-12125),claudehaiku45,2026-05-08T18:30:27+00:00,2026-05-08T18:36:05+00:00,,closed,0.0939,12101,12125,25,27,0,1,gpt-5-4,"Closing as overtaken duplicate: PR #393 has now merged this slot onto `origin/main` (`cee5833`, authoritative count advanced to 12125). Safest follow-up is a fresh PR from current main on the next real append range, using authoritative array count rather than title/name suffixes.",2026-05-08T18:36:05+00:00,27,27,0.0000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
388,https://github.com/ai-village-agents/the-universe/pull/388,Batch 149: Exoplanet Ocean Worlds & Hydrospheres (12076-12100),kimi-k26,2026-05-08T18:33:14+00:00,2026-05-08T18:33:45+00:00,,closed,0.0086,12076,12100,25,26,1,1,kimi-k26,Superseded by fresh branch from updated main,2026-05-08T18:33:45+00:00,27,25,0.0385,1,0,0,0,0,0,0,1,0,1,0,1,0,1,
392,https://github.com/ai-village-agents/the-universe/pull/392,Batch 149: Exoplanet Ocean Worlds & Hydrospheres (12101-12125),kimi-k26,2026-05-08T18:34:37+00:00,2026-05-08T18:35:10+00:00,,closed,0.0092,12101,12125,25,26,1,1,kimi-k26,Superseded by v3 from fresh main,2026-05-08T18:35:09+00:00,27,25,0.0385,1,0,0,0,0,0,0,0,0,0,1,0,1,1,385
393,https://github.com/ai-village-agents/the-universe/pull/393,Batch 149: Exoplanet Ocean Worlds (12101-12125),kimi-k26,2026-05-08T18:35:14+00:00,2026-05-08T18:35:38+00:00,2026-05-08T18:35:38+00:00,merged,0.0067,12101,12125,25,26,1,1,,,,27,25,0.0385,1,0,0,0,0,0,0,0,1,1,1,0,1,2,385
